,gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,pst_mvp
0,NL00,0,Nederland,Nederland,Land,NL00,
1,GM0003,3,Appingedam,Appingedam,Gemeente,GM0003,
2,WK000300,300,Wijk 00,Appingedam,Wijk,WK000300,
3,BU00030000,30000,Appingedam-Centrum,Appingedam,Buurt,BU00030000,9901.0
4,BU00030001,30001,Appingedam-West,Appingedam,Buurt,BU00030001,9903.0
5,BU00030002,30002,Appingedam-Oost,Appingedam,Buurt,BU00030002,9902.0
6,BU00030007,30007,Verspreide huizen Damsterdiep en Eemskanaal,Appingedam,Buurt,BU00030007,9903.0
7,BU00030008,30008,Verspreide huizen ten zuiden van Eemskanaal,Appingedam,Buurt,BU00030008,9902.0
8,BU00030009,30009,Verspreide huizen ten noorden van het Damsterdiep,Appingedam,Buurt,BU00030009,9901.0
9,GM0005,5,Bedum,Bedum,Gemeente,GM0005,
10,WK000500,500,Wijk 00,Bedum,Wijk,WK000500,
11,BU00050000,50000,Bedum,Bedum,Buurt,BU00050000,9781.0
12,BU00050001,50001,Verspreide huizen Bedum,Bedum,Buurt,BU00050001,9781.0
13,BU00050002,50002,Zuidwolde,Bedum,Buurt,BU00050002,9785.0
14,BU00050003,50003,Verspreide huizen Zuidwolde,Bedum,Buurt,BU00050003,9785.0
15,BU00050004,50004,Onderdendam,Bedum,Buurt,BU00050004,9959.0
16,BU00050005,50005,Verspreide huizen Onderdendam,Bedum,Buurt,BU00050005,9959.0
17,BU00050006,50006,Noordwolde,Bedum,Buurt,BU00050006,9784.0
18,BU00050007,50007,Verspreide huizen Noordwolde,Bedum,Buurt,BU00050007,9784.0
19,GM0007,7,Bellingwedde,Bellingwedde,Gemeente,GM0007,
20,WK000700,700,Wijk 00 Bellingwolde,Bellingwedde,Wijk,WK000700,
21,BU00070000,70000,Bellingwolde,Bellingwedde,Buurt,BU00070000,9695.0
22,BU00070001,70001,Vriescheloo,Bellingwedde,Buurt,BU00070001,9699.0
23,BU00070002,70002,Rhederweg-West,Bellingwedde,Buurt,BU00070002,9695.0
24,BU00070004,70004,Vriescheloo-Zuid,Bellingwedde,Buurt,BU00070004,9699.0
25,BU00070005,70005,Oudeschans,Bellingwedde,Buurt,BU00070005,9696.0
26,BU00070006,70006,Klein-Ulsda,Bellingwedde,Buurt,BU00070006,9696.0
27,BU00070007,70007,Verspreide huizen ten zuidoosten van Bellingwolde,Bellingwedde,Buurt,BU00070007,9695.0
28,BU00070008,70008,Verspreide huizen ten zuidoosten van Vriescheloo,Bellingwedde,Buurt,BU00070008,9699.0
29,BU00070009,70009,Verspreide huizen Westerwoldse A,Bellingwedde,Buurt,BU00070009,9695.0
30,WK000701,701,Wijk 01 Oost,Bellingwedde,Wijk,WK000701,
31,BU00070100,70100,Veelerveen,Bellingwedde,Buurt,BU00070100,9566.0
32,BU00070101,70101,Rhederbrug-Oost,Bellingwedde,Buurt,BU00070101,9695.0
33,BU00070108,70108,Verspreide huizen ten noordoosten van Rhederbrug,Bellingwedde,Buurt,BU00070108,9695.0
34,BU00070109,70109,Verspreide huizen Veelerveen,Bellingwedde,Buurt,BU00070109,9699.0
35,WK000702,702,Wijk 02 Blijham,Bellingwedde,Wijk,WK000702,
36,BU00070200,70200,Blijham,Bellingwedde,Buurt,BU00070200,9697.0
37,BU00070201,70201,Morige,Bellingwedde,Buurt,BU00070201,9697.0
38,BU00070202,70202,Wedde,Bellingwedde,Buurt,BU00070202,9698.0
39,BU00070203,70203,Wedderheide,Bellingwedde,Buurt,BU00070203,9698.0
40,BU00070204,70204,Wedderveer,Bellingwedde,Buurt,BU00070204,9698.0
41,BU00070206,70206,Verspreide huizen in de polder Blijham,Bellingwedde,Buurt,BU00070206,9697.0
42,BU00070207,70207,Verspreide huizen ten westen van Blijham,Bellingwedde,Buurt,BU00070207,9697.0
43,BU00070208,70208,Verspreide huizen Hoorn,Bellingwedde,Buurt,BU00070208,9698.0
44,BU00070209,70209,Verspreide huizen in de Weddermarke,Bellingwedde,Buurt,BU00070209,9698.0
45,GM0009,9,Ten Boer,Ten Boer,Gemeente,GM0009,
46,WK000900,900,Wijk 00 West,Ten Boer,Wijk,WK000900,
47,BU00090000,90000,Ten Boer,Ten Boer,Buurt,BU00090000,9791.0
48,BU00090001,90001,Garmerwolde,Ten Boer,Buurt,BU00090001,9798.0
49,BU00090002,90002,Thesinge,Ten Boer,Buurt,BU00090002,9797.0
50,BU00090003,90003,Sint-Annen,Ten Boer,Buurt,BU00090003,9796.0
51,BU00090005,90005,Achter-Thesinge en Bovenrijge,Ten Boer,Buurt,BU00090005,9797.0
52,BU00090009,90009,Verspreide huizen ten noorden van het Eemskanaal,Ten Boer,Buurt,BU00090009,9791.0
53,WK000901,901,Wijk 01 Oost,Ten Boer,Wijk,WK000901,
54,BU00090100,90100,Ten Post,Ten Boer,Buurt,BU00090100,9792.0
55,BU00090101,90101,Winneweer (gedeeltelijk),Ten Boer,Buurt,BU00090101,9793.0
56,BU00090102,90102,Woltersum,Ten Boer,Buurt,BU00090102,9795.0
57,BU00090104,90104,Wittewierum,Ten Boer,Buurt,BU00090104,9792.0
58,BU00090106,90106,Lellens,Ten Boer,Buurt,BU00090106,9794.0
59,BU00090109,90109,Verspreide huizen ten noorden van het Eemskanaal,Ten Boer,Buurt,BU00090109,9792.0
60,GM0010,10,Delfzijl,Delfzijl,Gemeente,GM0010,
61,WK001000,1000,Wijk 00 Stad,Delfzijl,Wijk,WK001000,
62,BU00100000,100000,Delfzijl-Centrum,Delfzijl,Buurt,BU00100000,9934.0
63,BU00100001,100001,Farmsum,Delfzijl,Buurt,BU00100001,9936.0
64,BU00100002,100002,Delfzijl-Noord,Delfzijl,Buurt,BU00100002,9933.0
65,BU00100003,100003,Delfzijl-West,Delfzijl,Buurt,BU00100003,9934.0
66,BU00100004,100004,Fivelzigt,Delfzijl,Buurt,BU00100004,9932.0
67,BU00100005,100005,Tuikwerd,Delfzijl,Buurt,BU00100005,9932.0
68,WK001001,1001,Wijk 01 Land,Delfzijl,Wijk,WK001001,
69,BU00100103,100103,Meedhuizen,Delfzijl,Buurt,BU00100103,9937.0
70,BU00100104,100104,Uitwierde,Delfzijl,Buurt,BU00100104,9931.0
71,BU00100107,100107,Verspreide huizen Eemskanaal (ten zuiden),Delfzijl,Buurt,BU00100107,9937.0
72,BU00100108,100108,Industrieterrein,Delfzijl,Buurt,BU00100108,9936.0
73,BU00100109,100109,Verspreide huizen in het noorden,Delfzijl,Buurt,BU00100109,9931.0
74,WK001002,1002,Wijk 02,Delfzijl,Wijk,WK001002,
75,BU00100200,100200,Woldendorp,Delfzijl,Buurt,BU00100200,9946.0
76,BU00100201,100201,Termunten,Delfzijl,Buurt,BU00100201,9947.0
77,BU00100202,100202,Termunterzijl,Delfzijl,Buurt,BU00100202,9948.0
78,BU00100203,100203,Borgsweer,Delfzijl,Buurt,BU00100203,9949.0
79,BU00100205,100205,Wagenborgen,Delfzijl,Buurt,BU00100205,9945.0
80,BU00100207,100207,Verspreide huizen Wagenborgen,Delfzijl,Buurt,BU00100207,9945.0
81,BU00100209,100209,Verspreide huizen Termunten,Delfzijl,Buurt,BU00100209,9947.0
82,WK001003,1003,Wijk 03,Delfzijl,Wijk,WK001003,
83,BU00100300,100300,Bierum,Delfzijl,Buurt,BU00100300,9906.0
84,BU00100301,100301,Spijk,Delfzijl,Buurt,BU00100301,9909.0
85,BU00100302,100302,Holwierde,Delfzijl,Buurt,BU00100302,9905.0
86,BU00100303,100303,Godlinze,Delfzijl,Buurt,BU00100303,9908.0
87,BU00100304,100304,Losdorp,Delfzijl,Buurt,BU00100304,9907.0
88,BU00100305,100305,Krewerd,Delfzijl,Buurt,BU00100305,9904.0
89,BU00100309,100309,Verspreide huizen Bierum,Delfzijl,Buurt,BU00100309,9909.0
90,GM0014,14,Groningen,Groningen,Gemeente,GM0014,
91,WK001400,1400,Centrum,Groningen,Wijk,WK001400,
92,BU00140000,140000,Binnenstad-Noord,Groningen,Buurt,BU00140000,9712.0
93,BU00140001,140001,Binnenstad-Zuid,Groningen,Buurt,BU00140001,9711.0
94,BU00140002,140002,Binnenstad-Oost,Groningen,Buurt,BU00140002,9711.0
95,BU00140003,140003,Binnenstad-West,Groningen,Buurt,BU00140003,9718.0
96,BU00140004,140004,Noorderplantsoen,Groningen,Buurt,BU00140004,9717.0
97,BU00140005,140005,Hortusbuurt-Ebbingekwartier,Groningen,Buurt,BU00140005,9712.0
98,BU00140007,140007,UMCG,Groningen,Buurt,BU00140007,9713.0
99,BU00140008,140008,Stationsgebied,Groningen,Buurt,BU00140008,9726.0
100,WK001401,1401,Oud-Zuid,Groningen,Wijk,WK001401,
101,BU00140100,140100,De Meeuwen,Groningen,Buurt,BU00140100,9723.0
102,BU00140101,140101,Oosterpoort,Groningen,Buurt,BU00140101,9724.0
103,BU00140102,140102,Herewegbuurt,Groningen,Buurt,BU00140102,9725.0
104,BU00140103,140103,Rivierenbuurt,Groningen,Buurt,BU00140103,9725.0
105,BU00140104,140104,Grunobuurt,Groningen,Buurt,BU00140104,9727.0
106,BU00140105,140105,Badstratenbuurt,Groningen,Buurt,BU00140105,9726.0
107,BU00140106,140106,Zeeheldenbuurt,Groningen,Buurt,BU00140106,9726.0
108,BU00140107,140107,Laanhuizen,Groningen,Buurt,BU00140107,9727.0
109,BU00140108,140108,Stadspark,Groningen,Buurt,BU00140108,9727.0
110,BU00140109,140109,Martini Trade Park,Groningen,Buurt,BU00140109,9727.0
111,WK001402,1402,Oud-West,Groningen,Wijk,WK001402,
112,BU00140200,140200,Oranjebuurt,Groningen,Buurt,BU00140200,9717.0
113,BU00140201,140201,Noorderplantsoenbuurt,Groningen,Buurt,BU00140201,9717.0
114,BU00140202,140202,Schildersbuurt,Groningen,Buurt,BU00140202,9718.0
115,BU00140203,140203,Kostverloren,Groningen,Buurt,BU00140203,9718.0
116,WK001403,1403,Oud-Noord,Groningen,Wijk,WK001403,
117,BU00140300,140300,De Hoogte,Groningen,Buurt,BU00140300,9716.0
118,BU00140301,140301,Indische buurt,Groningen,Buurt,BU00140301,9715.0
119,BU00140302,140302,Professorenbuurt,Groningen,Buurt,BU00140302,9714.0
120,WK001404,1404,Oosterparkwijk,Groningen,Wijk,WK001404,
121,BU00140400,140400,Gorechtbuurt,Groningen,Buurt,BU00140400,9713.0
122,BU00140401,140401,Vogelbuurt,Groningen,Buurt,BU00140401,9713.0
123,BU00140402,140402,Bloemenbuurt,Groningen,Buurt,BU00140402,9713.0
124,BU00140403,140403,Florabuurt,Groningen,Buurt,BU00140403,9713.0
125,BU00140404,140404,Damsterbuurt,Groningen,Buurt,BU00140404,9713.0
126,WK001405,1405,Zuidoost,Groningen,Wijk,WK001405,
127,BU00140500,140500,De Linie,Groningen,Buurt,BU00140500,9723.0
128,BU00140501,140501,Europapark,Groningen,Buurt,BU00140501,9723.0
129,BU00140502,140502,Eemskanaal,Groningen,Buurt,BU00140502,9723.0
130,BU00140503,140503,Kop van Oost,Groningen,Buurt,BU00140503,9723.0
131,BU00140504,140504,Woonschepenhaven,Groningen,Buurt,BU00140504,9723.0
132,BU00140505,140505,Driebond,Groningen,Buurt,BU00140505,9723.0
133,BU00140506,140506,Eemspoort,Groningen,Buurt,BU00140506,9723.0
134,BU00140507,140507,Euvelgunne,Groningen,Buurt,BU00140507,9723.0
135,BU00140508,140508,Winschoterdiep,Groningen,Buurt,BU00140508,9723.0
136,BU00140509,140509,Stainkoel'n,Groningen,Buurt,BU00140509,9723.0
137,BU00140510,140510,Roodehaan,Groningen,Buurt,BU00140510,9723.0
138,BU00140511,140511,Waterhuizen,Groningen,Buurt,BU00140511,9723.0
139,WK001406,1406,Helpman e.o.,Groningen,Wijk,WK001406,
140,BU00140600,140600,Sterrebosbuurt,Groningen,Buurt,BU00140600,9721.0
141,BU00140601,140601,Coendersborg,Groningen,Buurt,BU00140601,9722.0
142,BU00140602,140602,Klein Martijn,Groningen,Buurt,BU00140602,9722.0
143,BU00140603,140603,Villabuurt,Groningen,Buurt,BU00140603,9722.0
144,BU00140604,140604,Helpman,Groningen,Buurt,BU00140604,9722.0
145,BU00140605,140605,De Wijert,Groningen,Buurt,BU00140605,9721.0
146,BU00140606,140606,De Wijert-Zuid,Groningen,Buurt,BU00140606,9721.0
147,WK001407,1407,Zuidwest,Groningen,Wijk,WK001407,
148,BU00140700,140700,Corpus den Hoorn,Groningen,Buurt,BU00140700,9728.0
149,BU00140701,140701,Hoornse Meer,Groningen,Buurt,BU00140701,9728.0
150,BU00140702,140702,Hoornse Park,Groningen,Buurt,BU00140702,9728.0
151,BU00140703,140703,Van Swieten,Groningen,Buurt,BU00140703,9728.0
152,BU00140704,140704,Piccardthof,Groningen,Buurt,BU00140704,9728.0
153,BU00140705,140705,Bruilweering,Groningen,Buurt,BU00140705,9728.0
154,WK001408,1408,Hoogkerk e.o.,Groningen,Wijk,WK001408,
155,BU00140800,140800,Hoogkerk Dorp,Groningen,Buurt,BU00140800,9745.0
156,BU00140801,140801,Hoogkerk-Zuid,Groningen,Buurt,BU00140801,9744.0
157,BU00140802,140802,Westpoort,Groningen,Buurt,BU00140802,9744.0
158,BU00140803,140803,Vierverlaten,Groningen,Buurt,BU00140803,9744.0
159,BU00140804,140804,Zuidwending,Groningen,Buurt,BU00140804,9745.0
160,BU00140805,140805,Leegkerk,Groningen,Buurt,BU00140805,9746.0
161,BU00140806,140806,Gravenburg,Groningen,Buurt,BU00140806,9746.0
162,BU00140807,140807,Suikerfabriekterrein,Groningen,Buurt,BU00140807,9743.0
163,BU00140808,140808,Peizerweg,Groningen,Buurt,BU00140808,9727.0
164,BU00140809,140809,Bangeweer,Groningen,Buurt,BU00140809,9744.0
165,BU00140810,140810,De Buitenhof,Groningen,Buurt,BU00140810,9727.0
166,BU00140811,140811,Kranenburg,Groningen,Buurt,BU00140811,9727.0
167,BU00140812,140812,De Kring,Groningen,Buurt,BU00140812,9727.0
168,WK001409,1409,Nieuw-West,Groningen,Wijk,WK001409,
169,BU00140900,140900,Vinkhuizen-Noord,Groningen,Buurt,BU00140900,9743.0
170,BU00140901,140901,Vinkhuizen-Zuid,Groningen,Buurt,BU00140901,9743.0
171,BU00140902,140902,Hoendiep,Groningen,Buurt,BU00140902,9743.0
172,BU00140903,140903,Friesestraatweg,Groningen,Buurt,BU00140903,9743.0
173,BU00140904,140904,Reitdiep,Groningen,Buurt,BU00140904,9746.0
174,BU00140905,140905,Dorkwerd,Groningen,Buurt,BU00140905,9746.0
175,BU00140906,140906,De Held,Groningen,Buurt,BU00140906,9745.0
176,BU00140907,140907,Westpark,Groningen,Buurt,BU00140907,9745.0
177,WK001410,1410,Noordwest,Groningen,Wijk,WK001410,
178,BU00141000,141000,Selwerd,Groningen,Buurt,BU00141000,9741.0
179,BU00141001,141001,Paddepoel-Zuid,Groningen,Buurt,BU00141001,9742.0
180,BU00141002,141002,Paddepoel-Noord,Groningen,Buurt,BU00141002,9742.0
181,BU00141003,141003,Zernike Campus,Groningen,Buurt,BU00141003,9747.0
182,BU00141004,141004,Selwerderhof,Groningen,Buurt,BU00141004,9741.0
183,BU00141005,141005,Tuinwijk,Groningen,Buurt,BU00141005,9741.0
184,WK001411,1411,Noordoost,Groningen,Wijk,WK001411,
185,BU00141100,141100,Beijum-West,Groningen,Buurt,BU00141100,9737.0
186,BU00141101,141101,Beijum-Oost,Groningen,Buurt,BU00141101,9736.0
187,BU00141102,141102,De Hunze,Groningen,Buurt,BU00141102,9731.0
188,BU00141103,141103,Van Starkenborgh,Groningen,Buurt,BU00141103,9731.0
189,BU00141104,141104,Noorderhoogebrug,Groningen,Buurt,BU00141104,9738.0
190,BU00141105,141105,Het Witte Lam,Groningen,Buurt,BU00141105,9738.0
191,BU00141106,141106,Koningslaagte,Groningen,Buurt,BU00141106,9738.0
192,BU00141107,141107,Hunzeboord,Groningen,Buurt,BU00141107,9731.0
193,WK001412,1412,Noorddijk e.o.,Groningen,Wijk,WK001412,
194,BU00141200,141200,Lewenborg-Noord,Groningen,Buurt,BU00141200,9733.0
195,BU00141201,141201,Lewenborg-Zuid,Groningen,Buurt,BU00141201,9732.0
196,BU00141202,141202,Lewenborg-West,Groningen,Buurt,BU00141202,9732.0
197,BU00141203,141203,Oosterhoogebrug,Groningen,Buurt,BU00141203,9731.0
198,BU00141204,141204,Ulgersmaborg,Groningen,Buurt,BU00141204,9731.0
199,BU00141205,141205,Hunzepark,Groningen,Buurt,BU00141205,9735.0
200,BU00141206,141206,Zilvermeer,Groningen,Buurt,BU00141206,9735.0
201,BU00141207,141207,Kardinge,Groningen,Buurt,BU00141207,9735.0
202,BU00141208,141208,Drielanden,Groningen,Buurt,BU00141208,9734.0
203,BU00141209,141209,Noorddijk,Groningen,Buurt,BU00141209,9734.0
204,BU00141210,141210,Ruischerbrug,Groningen,Buurt,BU00141210,9734.0
205,BU00141211,141211,Ruischerwaard,Groningen,Buurt,BU00141211,9734.0
206,WK001413,1413,Meerdorpen,Groningen,Wijk,WK001413,
207,BU00141300,141300,Middelbert,Groningen,Buurt,BU00141300,9723.0
208,BU00141301,141301,Engelbert,Groningen,Buurt,BU00141301,9723.0
209,BU00141302,141302,Klein Harkstede,Groningen,Buurt,BU00141302,9723.0
210,WK001414,1414,Meerstad e.o.,Groningen,Wijk,WK001414,
211,BU00141400,141400,Meerstad,Groningen,Buurt,BU00141400,9613.0
212,BU00141401,141401,Harkstede GN,Groningen,Buurt,BU00141401,9617.0
213,BU00141402,141402,Lageland GN,Groningen,Buurt,BU00141402,9623.0
214,GM0015,15,Grootegast,Grootegast,Gemeente,GM0015,
215,WK001500,1500,Wijk 00 Grootegast,Grootegast,Wijk,WK001500,
216,BU00150000,150000,Grootegast,Grootegast,Buurt,BU00150000,9861.0
217,BU00150001,150001,Doezum,Grootegast,Buurt,BU00150001,9863.0
218,BU00150002,150002,Sebaldeburen,Grootegast,Buurt,BU00150002,9862.0
219,BU00150006,150006,Het Peebos,Grootegast,Buurt,BU00150006,9863.0
220,BU00150007,150007,Verspreide huizen ten zuiden van Sebaldeburen,Grootegast,Buurt,BU00150007,9862.0
221,BU00150008,150008,Verspreide huizen ten zuiden van Grootegast,Grootegast,Buurt,BU00150008,9863.0
222,BU00150009,150009,Overige verspreide huizen,Grootegast,Buurt,BU00150009,9865.0
223,WK001501,1501,Wijk 01 Lutjegast,Grootegast,Wijk,WK001501,
224,BU00150100,150100,Lutjegast,Grootegast,Buurt,BU00150100,9866.0
225,BU00150109,150109,Verspreide huizen Lutjegast,Grootegast,Buurt,BU00150109,9866.0
226,WK001502,1502,Wijk 02 Opende,Grootegast,Wijk,WK001502,
227,BU00150200,150200,Opende-West,Grootegast,Buurt,BU00150200,9865.0
228,BU00150201,150201,Opende-Oost,Grootegast,Buurt,BU00150201,9865.0
229,BU00150202,150202,Kornhorn,Grootegast,Buurt,BU00150202,9864.0
230,BU00150209,150209,Verspreide huizen ten zuiden van Opende,Grootegast,Buurt,BU00150209,9865.0
231,WK001503,1503,Wijk 03 Oldekerk,Grootegast,Wijk,WK001503,
232,BU00150300,150300,Niekerk,Grootegast,Buurt,BU00150300,9822.0
233,BU00150301,150301,Oldekerk,Grootegast,Buurt,BU00150301,9821.0
234,BU00150309,150309,Verspreide huizen Oldekerk,Grootegast,Buurt,BU00150309,9821.0
235,GM0017,17,Haren,Haren,Gemeente,GM0017,
236,WK001700,1700,Wijk 00 Centrum,Haren,Wijk,WK001700,
237,BU00170000,170000,Haren,Haren,Buurt,BU00170000,9752.0
238,BU00170001,170001,Oosterhaar,Haren,Buurt,BU00170001,9753.0
239,BU00170002,170002,Voorveld,Haren,Buurt,BU00170002,9752.0
240,BU00170003,170003,Harenermolen,Haren,Buurt,BU00170003,9751.0
241,BU00170004,170004,Glimmen,Haren,Buurt,BU00170004,9756.0
242,BU00170005,170005,Hemmen,Haren,Buurt,BU00170005,9751.0
243,WK001701,1701,Wijk 01 Land,Haren,Wijk,WK001701,
244,BU00170100,170100,Noordlaren,Haren,Buurt,BU00170100,9479.0
245,BU00170101,170101,Onnen,Haren,Buurt,BU00170101,9755.0
246,BU00170102,170102,Paterswolde (gedeeltelijk),Haren,Buurt,BU00170102,9752.0
247,BU00170103,170103,Essen,Haren,Buurt,BU00170103,9751.0
248,BU00170106,170106,Verspreide huizen ten westen van Noord-Willemskanaal,Haren,Buurt,BU00170106,9752.0
249,BU00170107,170107,Verspreide huizen op de Hondsrug,Haren,Buurt,BU00170107,9479.0
250,BU00170108,170108,Verspreide huizen Onner Esch,Haren,Buurt,BU00170108,9755.0
251,BU00170109,170109,Verspreide huizen ten oosten van de Hondsrug,Haren,Buurt,BU00170109,9755.0
252,GM0018,18,Hoogezand-Sappemeer,Hoogezand-Sappemeer,Gemeente,GM0018,
253,WK001801,1801,Wijk 01 Foxham en Hoogezand-Noord,Hoogezand-Sappemeer,Wijk,WK001801,
254,BU00180101,180101,Noorderpark,Hoogezand-Sappemeer,Buurt,BU00180101,9601.0
255,BU00180102,180102,Westerpark,Hoogezand-Sappemeer,Buurt,BU00180102,9601.0
256,BU00180103,180103,Beukemabuurt,Hoogezand-Sappemeer,Buurt,BU00180103,9601.0
257,BU00180104,180104,Oosterpark,Hoogezand-Sappemeer,Buurt,BU00180104,9601.0
258,BU00180105,180105,Martenshoek,Hoogezand-Sappemeer,Buurt,BU00180105,9601.0
259,BU00180106,180106,Industriegebied Martenshoek,Hoogezand-Sappemeer,Buurt,BU00180106,9601.0
260,BU00180107,180107,Stadshart-Noord,Hoogezand-Sappemeer,Buurt,BU00180107,9601.0
261,WK001802,1802,Wijk 02 Hoogezand-Zuid,Hoogezand-Sappemeer,Wijk,WK001802,
262,BU00180201,180201,Spoorstraat en Kieldiep,Hoogezand-Sappemeer,Buurt,BU00180201,9602.0
263,BU00180202,180202,Burgemeester van Royenstraat en omgeving,Hoogezand-Sappemeer,Buurt,BU00180202,9602.0
264,BU00180203,180203,Gorecht-Noord,Hoogezand-Sappemeer,Buurt,BU00180203,9602.0
265,BU00180204,180204,Gorechtpark,Hoogezand-Sappemeer,Buurt,BU00180204,9606.0
266,BU00180205,180205,Gorecht-West,Hoogezand-Sappemeer,Buurt,BU00180205,9602.0
267,BU00180206,180206,Woldwijck-West,Hoogezand-Sappemeer,Buurt,BU00180206,9602.0
268,BU00180207,180207,Woldwijck-Midden,Hoogezand-Sappemeer,Buurt,BU00180207,9602.0
269,BU00180208,180208,Woldwijck-Oost,Hoogezand-Sappemeer,Buurt,BU00180208,9602.0
270,BU00180209,180209,Kropswolderpolder,Hoogezand-Sappemeer,Buurt,BU00180209,9602.0
271,BU00180210,180210,Gorechtpark-Oost,Hoogezand-Sappemeer,Buurt,BU00180210,9602.0
272,WK001803,1803,Wijk 03 Kalkwijk,Hoogezand-Sappemeer,Wijk,WK001803,
273,BU00180301,180301,Stadshart-Zuid,Hoogezand-Sappemeer,Buurt,BU00180301,9603.0
274,BU00180302,180302,Zuiderpark,Hoogezand-Sappemeer,Buurt,BU00180302,9603.0
275,BU00180303,180303,De Dreven,Hoogezand-Sappemeer,Buurt,BU00180303,9603.0
276,BU00180304,180304,De Vosholen-West,Hoogezand-Sappemeer,Buurt,BU00180304,9603.0
277,BU00180305,180305,Kalkwijk-Zuid,Hoogezand-Sappemeer,Buurt,BU00180305,9603.0
278,BU00180306,180306,Kalkwijk-Noord,Hoogezand-Sappemeer,Buurt,BU00180306,9603.0
279,WK001805,1805,Wijk 05 Kiel-Windeweer,Hoogezand-Sappemeer,Wijk,WK001805,
280,BU00180501,180501,Kiel-Windeweer,Hoogezand-Sappemeer,Buurt,BU00180501,9605.0
281,BU00180502,180502,Kiel-Windeweer Buiten,Hoogezand-Sappemeer,Buurt,BU00180502,9605.0
282,WK001806,1806,Wijk 06 Kropswolde,Hoogezand-Sappemeer,Wijk,WK001806,
283,BU00180601,180601,Recreatiegebied Meerwijck,Hoogezand-Sappemeer,Buurt,BU00180601,9606.0
284,BU00180602,180602,Polder Kropswolde,Hoogezand-Sappemeer,Buurt,BU00180602,9606.0
285,BU00180603,180603,Meerwijck,Hoogezand-Sappemeer,Buurt,BU00180603,9606.0
286,BU00180604,180604,Polder Wolfsbarge,Hoogezand-Sappemeer,Buurt,BU00180604,9606.0
287,BU00180605,180605,Kropswolderbuitenpolder,Hoogezand-Sappemeer,Buurt,BU00180605,9606.0
288,BU00180606,180606,Kropswolde,Hoogezand-Sappemeer,Buurt,BU00180606,9606.0
289,WK001807,1807,Wijk 07 Foxhol,Hoogezand-Sappemeer,Wijk,WK001807,
290,BU00180701,180701,Foxhol,Hoogezand-Sappemeer,Buurt,BU00180701,9607.0
291,BU00180702,180702,Foxholsterbosch,Hoogezand-Sappemeer,Buurt,BU00180702,9607.0
292,WK001808,1808,Wijk 08 Westerbroek,Hoogezand-Sappemeer,Wijk,WK001808,
293,BU00180801,180801,Westerbroekstermolenpolder,Hoogezand-Sappemeer,Buurt,BU00180801,9608.0
294,BU00180802,180802,Westerbroekstermadepolder,Hoogezand-Sappemeer,Buurt,BU00180802,9607.0
295,BU00180803,180803,Industriegebied Winschoterdiep,Hoogezand-Sappemeer,Buurt,BU00180803,9608.0
296,BU00180804,180804,Westerbroek,Hoogezand-Sappemeer,Buurt,BU00180804,9608.0
297,WK001809,1809,Wijk 09 Waterhuizen,Hoogezand-Sappemeer,Wijk,WK001809,
298,BU00180901,180901,Waterhuizen,Hoogezand-Sappemeer,Buurt,BU00180901,9609.0
299,WK001811,1811,Wijk 11 Sappemeer,Hoogezand-Sappemeer,Wijk,WK001811,
300,BU00181101,181101,Magrietpark,Hoogezand-Sappemeer,Buurt,BU00181101,9611.0
301,BU00181102,181102,Sappemeer-Oost,Hoogezand-Sappemeer,Buurt,BU00181102,9611.0
302,BU00181103,181103,Boswijck-West,Hoogezand-Sappemeer,Buurt,BU00181103,9611.0
303,BU00181104,181104,Boswijck-Oost,Hoogezand-Sappemeer,Buurt,BU00181104,9611.0
304,BU00181105,181105,Compagniesterpark,Hoogezand-Sappemeer,Buurt,BU00181105,9611.0
305,BU00181106,181106,De Vosholen-Oost,Hoogezand-Sappemeer,Buurt,BU00181106,9611.0
306,BU00181107,181107,Nieuw Woelwijck,Hoogezand-Sappemeer,Buurt,BU00181107,9611.0
307,BU00181108,181108,Polder De Nijverheid,Hoogezand-Sappemeer,Buurt,BU00181108,9611.0
308,BU00181109,181109,Sappemeer-Noord,Hoogezand-Sappemeer,Buurt,BU00181109,9611.0
309,GM0022,22,Leek,Leek,Gemeente,GM0022,
310,WK002200,2200,Wijk 00 Leek,Leek,Wijk,WK002200,
311,BU00220001,220001,Diepswal,Leek,Buurt,BU00220001,9351.0
312,BU00220002,220002,Centrum Leek en omgeving,Leek,Buurt,BU00220002,9351.0
313,BU00220003,220003,Rodenburg en omgeving,Leek,Buurt,BU00220003,9351.0
314,BU00220004,220004,Nienoordsrand,Leek,Buurt,BU00220004,9351.0
315,BU00220008,220008,Buitengebied ten oosten van Leek,Leek,Buurt,BU00220008,9351.0
316,BU00220009,220009,Buitengebied ten zuiden van Leek,Leek,Buurt,BU00220009,9351.0
317,WK002201,2201,Wijk 01 Zevenhuizen,Leek,Wijk,WK002201,
318,BU00220100,220100,Bebouwde kom Zevenhuizen,Leek,Buurt,BU00220100,9354.0
319,BU00220101,220101,De Haspel,Leek,Buurt,BU00220101,9354.0
320,BU00220102,220102,Drostinnewijk,Leek,Buurt,BU00220102,9354.0
321,BU00220103,220103,Boerenstreek,Leek,Buurt,BU00220103,9354.0
322,BU00220107,220107,Buitengebied ten noorden van Zevenhuizen,Leek,Buurt,BU00220107,9351.0
323,BU00220108,220108,Buitengebied ten oosten van Zevenhuizen,Leek,Buurt,BU00220108,9354.0
